# items.csv - 아이템 데이터
# id,name,grade,type,rarity,stats,dropRate
# grade: 1-5 (common=1, rare=2, epic=3, legendary=4, mythic=5)
# stats: weapon=attackBonus(%), armor=defenseBonus(%), boots=moveSpeed, accessory=hpBonus(%)
id,name,grade,type,rarity,stats,dropRate
28,bronze_armor,3,armor,epic,"{""defenseBonus"":2.6}",0.15
29,bronze_armor,4,armor,legendary,"{""defenseBonus"":3}",0.05
30,bronze_armor,5,armor,mythic,"{""defenseBonus"":4}",0.01
31,iron_armor,1,armor,common,"{""defenseBonus"":12}",0.3
32,iron_armor,2,armor,rare,"{""defenseBonus"":13.8}",0.25
33,iron_armor,3,armor,epic,"{""defenseBonus"":15.6}",0.15
34,iron_armor,4,armor,legendary,"{""defenseBonus"":18}",0.05
35,iron_armor,5,armor,mythic,"{""defenseBonus"":24}",0.01
36,steel_armor,1,armor,common,"{""defenseBonus"":30}",0.3
37,steel_armor,2,armor,rare,"{""defenseBonus"":34.5}",0.25
38,steel_armor,3,armor,epic,"{""defenseBonus"":39}",0.15
39,steel_armor,4,armor,legendary,"{""defenseBonus"":45}",0.05
40,steel_armor,5,armor,mythic,"{""defenseBonus"":60}",0.01
41,gold_armor,1,armor,common,"{""defenseBonus"":70}",0.3
42,gold_armor,2,armor,rare,"{""defenseBonus"":80.5}",0.25
43,gold_armor,3,armor,epic,"{""defenseBonus"":91}",0.15
44,gold_armor,4,armor,legendary,"{""defenseBonus"":105}",0.05
45,gold_armor,5,armor,mythic,"{""defenseBonus"":140}",0.01
46,mythril_armor,1,armor,common,"{""defenseBonus"":150}",0.3
47,mythril_armor,2,armor,rare,"{""defenseBonus"":172.5}",0.25
48,mythril_armor,3,armor,epic,"{""defenseBonus"":195}",0.15
49,mythril_armor,4,armor,legendary,"{""defenseBonus"":225}",0.05
50,mythril_armor,5,armor,mythic,"{""defenseBonus"":300}",0.01
51,bronze_boots,1,boots,common,"{""moveSpeed"":1}",0.3
52,bronze_boots,2,boots,rare,"{""moveSpeed"":1.15}",0.25
53,bronze_boots,3,boots,epic,"{""moveSpeed"":1.3}",0.15
54,bronze_boots,4,boots,legendary,"{""moveSpeed"":1.5}",0.05
55,bronze_boots,5,boots,mythic,"{""moveSpeed"":2}",0.01
56,iron_boots,1,boots,common,"{""moveSpeed"":6}",0.3
57,iron_boots,2,boots,rare,"{""moveSpeed"":6.9}",0.25
58,iron_boots,3,boots,epic,"{""moveSpeed"":7.8}",0.15
59,iron_boots,4,boots,legendary,"{""moveSpeed"":9}",0.05
60,iron_boots,5,boots,mythic,"{""moveSpeed"":12}",0.01
61,steel_boots,1,boots,common,"{""moveSpeed"":15}",0.3
62,steel_boots,2,boots,rare,"{""moveSpeed"":17.25}",0.25
63,steel_boots,3,boots,epic,"{""moveSpeed"":19.5}",0.15
64,steel_boots,4,boots,legendary,"{""moveSpeed"":22.5}",0.05
65,steel_boots,5,boots,mythic,"{""moveSpeed"":30}",0.01
66,gold_boots,1,boots,common,"{""moveSpeed"":35}",0.3
67,gold_boots,2,boots,rare,"{""moveSpeed"":40.25}",0.25
68,gold_boots,3,boots,epic,"{""moveSpeed"":45.5}",0.15
69,gold_boots,4,boots,legendary,"{""moveSpeed"":52.5}",0.05
70,gold_boots,5,boots,mythic,"{""moveSpeed"":70}",0.01
71,mythril_boots,1,boots,common,"{""moveSpeed"":75}",0.3
72,mythril_boots,2,boots,rare,"{""moveSpeed"":86.25}",0.25
73,mythril_boots,3,boots,epic,"{""moveSpeed"":97.5}",0.15
74,mythril_boots,4,boots,legendary,"{""moveSpeed"":112.5}",0.05
75,mythril_boots,5,boots,mythic,"{""moveSpeed"":150}",0.01
76,bronze_ring,1,accessory,common,"{""hpBonus"":2}",0.3
77,bronze_ring,2,accessory,rare,"{""hpBonus"":2.3}",0.25
78,bronze_ring,3,accessory,epic,"{""hpBonus"":2.6}",0.15
79,bronze_ring,4,accessory,legendary,"{""hpBonus"":3}",0.05
80,bronze_ring,5,accessory,mythic,"{""hpBonus"":4}",0.01
81,iron_ring,1,accessory,common,"{""hpBonus"":12}",0.3
82,iron_ring,2,accessory,rare,"{""hpBonus"":13.8}",0.25
83,iron_ring,3,accessory,epic,"{""hpBonus"":15.6}",0.15
84,iron_ring,4,accessory,legendary,"{""hpBonus"":18}",0.05
85,iron_ring,5,accessory,mythic,"{""hpBonus"":24}",0.01
86,steel_ring,1,accessory,common,"{""hpBonus"":30}",0.3
87,steel_ring,2,accessory,rare,"{""hpBonus"":34.5}",0.25
88,steel_ring,3,accessory,epic,"{""hpBonus"":39}",0.15
89,steel_ring,4,accessory,legendary,"{""hpBonus"":45}",0.05
90,steel_ring,5,accessory,mythic,"{""hpBonus"":60}",0.01
91,gold_ring,1,accessory,common,"{""hpBonus"":70}",0.3
92,gold_ring,2,accessory,rare,"{""hpBonus"":80.5}",0.25
93,gold_ring,3,accessory,epic,"{""hpBonus"":91}",0.15
94,gold_ring,4,accessory,legendary,"{""hpBonus"":105}",0.05
95,gold_ring,5,accessory,mythic,"{""hpBonus"":140}",0.01
96,mythril_ring,1,accessory,common,"{""hpBonus"":150}",0.3
97,mythril_ring,2,accessory,rare,"{""hpBonus"":172.5}",0.25
98,mythril_ring,3,accessory,epic,"{""hpBonus"":195}",0.15
99,mythril_ring,4,accessory,legendary,"{""hpBonus"":225}",0.05
100,mythril_ring,5,accessory,mythic,"{""hpBonus"":300}",0.01
