# items.csv - 아이템 데이터 (ID 체계 리팩토링)
# id,name,grade,type,rarity,stats
# ID 체계: Weapon 1001-1025, Armor 2001-2025, Boots 3001-3025, Accessory 4001-4025
# grade: 1-25 (1-5:Bronze, 6-10:Iron, 11-15:Steel, 16-20:Gold, 21-25:Mythril)
# rarity: common, rare, epic, legendary, mythic
id,name,grade,type,rarity,stats
2019,gold_armor,19,armor,legendary,"{""defenseBonus"":94}"
2020,gold_armor,20,armor,mythic,"{""defenseBonus"":105}"
2021,mythril_armor,21,armor,common,"{""defenseBonus"":127}"
2022,mythril_armor,22,armor,rare,"{""defenseBonus"":150}"
2023,mythril_armor,23,armor,epic,"{""defenseBonus"":172}"
2024,mythril_armor,24,armor,legendary,"{""defenseBonus"":195}"
2025,mythril_armor,25,armor,mythic,"{""defenseBonus"":217}"
3001,bronze_boots,1,boots,common,"{""moveSpeed"":2}"
3002,bronze_boots,2,boots,rare,"{""moveSpeed"":3}"
3003,bronze_boots,3,boots,epic,"{""moveSpeed"":4}"
3004,bronze_boots,4,boots,legendary,"{""moveSpeed"":5}"
3005,bronze_boots,5,boots,mythic,"{""moveSpeed"":6}"
3006,iron_boots,6,boots,common,"{""moveSpeed"":7}"
3007,iron_boots,7,boots,rare,"{""moveSpeed"":8}"
3008,iron_boots,8,boots,epic,"{""moveSpeed"":9}"
3009,iron_boots,9,boots,legendary,"{""moveSpeed"":10}"
3010,iron_boots,10,boots,mythic,"{""moveSpeed"":11}"
3011,steel_boots,11,boots,common,"{""moveSpeed"":12}"
3012,steel_boots,12,boots,rare,"{""moveSpeed"":13}"
3013,steel_boots,13,boots,epic,"{""moveSpeed"":14}"
3014,steel_boots,14,boots,legendary,"{""moveSpeed"":15}"
3015,steel_boots,15,boots,mythic,"{""moveSpeed"":16}"
3016,gold_boots,16,boots,common,"{""moveSpeed"":19}"
3017,gold_boots,17,boots,rare,"{""moveSpeed"":22}"
3018,gold_boots,18,boots,epic,"{""moveSpeed"":25}"
3019,gold_boots,19,boots,legendary,"{""moveSpeed"":28}"
3020,gold_boots,20,boots,mythic,"{""moveSpeed"":31}"
3021,mythril_boots,21,boots,common,"{""moveSpeed"":36}"
3022,mythril_boots,22,boots,rare,"{""moveSpeed"":39}"
3023,mythril_boots,23,boots,epic,"{""moveSpeed"":42}"
3024,mythril_boots,24,boots,legendary,"{""moveSpeed"":46}"
3025,mythril_boots,25,boots,mythic,"{""moveSpeed"":50}"
4001,bronze_ring,1,accessory,common,"{""hpBonus"":3}"
4002,bronze_ring,2,accessory,rare,"{""hpBonus"":7}"
4003,bronze_ring,3,accessory,epic,"{""hpBonus"":10}"
4004,bronze_ring,4,accessory,legendary,"{""hpBonus"":14}"
4005,bronze_ring,5,accessory,mythic,"{""hpBonus"":17}"
4006,iron_ring,6,accessory,common,"{""hpBonus"":24}"
4007,iron_ring,7,accessory,rare,"{""hpBonus"":31}"
4008,iron_ring,8,accessory,epic,"{""hpBonus"":37}"
4009,iron_ring,9,accessory,legendary,"{""hpBonus"":44}"
4010,iron_ring,10,accessory,mythic,"{""hpBonus"":51}"
4011,steel_ring,11,accessory,common,"{""hpBonus"":65}"
4012,steel_ring,12,accessory,rare,"{""hpBonus"":78}"
4013,steel_ring,13,accessory,epic,"{""hpBonus"":92}"
4014,steel_ring,14,accessory,legendary,"{""hpBonus"":105}"
4015,steel_ring,15,accessory,mythic,"{""hpBonus"":119}"
4016,gold_ring,16,accessory,common,"{""hpBonus"":146}"
4017,gold_ring,17,accessory,rare,"{""hpBonus"":173}"
4018,gold_ring,18,accessory,epic,"{""hpBonus"":201}"
4019,gold_ring,19,accessory,legendary,"{""hpBonus"":228}"
4020,gold_ring,20,accessory,mythic,"{""hpBonus"":255}"
4021,mythril_ring,21,accessory,common,"{""hpBonus"":309}"
4022,mythril_ring,22,accessory,rare,"{""hpBonus"":364}"
4023,mythril_ring,23,accessory,epic,"{""hpBonus"":418}"
4024,mythril_ring,24,accessory,legendary,"{""hpBonus"":473}"
4025,mythril_ring,25,accessory,mythic,"{""hpBonus"":527}"
